refit_index,decision_date,train_window_start,train_window_end,epochs_logged,train_objective,best_validation_loss,history_csv
1,2000-01-31,1980-02-29,2000-01-31,500,-0.0010978948368979328,0.0010978948368979328,training_logs/pipinn/refit_001_20000131.csv
2,2001-01-31,1981-02-28,2001-01-31,500,-0.0007774331488049406,0.0007774331488049406,training_logs/pipinn/refit_002_20010131.csv
3,2002-01-31,1982-02-28,2002-01-31,500,-0.0007588326801399068,0.0007588326801399068,training_logs/pipinn/refit_003_20020131.csv
4,2003-01-31,1983-02-28,2003-01-31,500,-0.0004639150275263049,0.0004639150275263049,training_logs/pipinn/refit_004_20030131.csv
5,2004-01-31,1984-02-29,2004-01-31,500,-0.0005687301555451537,0.0005687301555451537,training_logs/pipinn/refit_005_20040131.csv
6,2005-01-31,1985-02-28,2005-01-31,500,-0.0005225979721583453,0.0005225979721583453,training_logs/pipinn/refit_006_20050131.csv
7,2006-01-31,1986-02-28,2006-01-31,500,-0.0005438991544543159,0.0005438991544543159,training_logs/pipinn/refit_007_20060131.csv
8,2007-01-31,1987-02-28,2007-01-31,500,-0.0006022359722718441,0.0006022359722718441,training_logs/pipinn/refit_008_20070131.csv
9,2008-01-31,1988-02-29,2008-01-31,500,-0.0005277495942722974,0.0005277495942722974,training_logs/pipinn/refit_009_20080131.csv
10,2009-01-31,1989-02-28,2009-01-31,500,-0.0007074097979516675,0.0007074097979516675,training_logs/pipinn/refit_010_20090131.csv
11,2010-01-31,1990-02-28,2010-01-31,500,-0.0005421311850611554,0.0005421311850611554,training_logs/pipinn/refit_011_20100131.csv
12,2011-01-31,1991-02-28,2011-01-31,500,-0.0006076364276946288,0.0006076364276946288,training_logs/pipinn/refit_012_20110131.csv
13,2012-01-31,1992-02-29,2012-01-31,500,-0.0005494985032842176,0.0005494985032842176,training_logs/pipinn/refit_013_20120131.csv
14,2013-01-31,1993-02-28,2013-01-31,500,-0.0006466205667928766,0.0006466205667928766,training_logs/pipinn/refit_014_20130131.csv
15,2014-01-31,1994-02-28,2014-01-31,500,-0.0006763851265191254,0.0006763851265191254,training_logs/pipinn/refit_015_20140131.csv
16,2015-01-31,1995-02-28,2015-01-31,500,-0.000640407456829019,0.000640407456829019,training_logs/pipinn/refit_016_20150131.csv
17,2016-01-31,1996-02-29,2016-01-31,500,-0.0006630448999706915,0.0006630448999706915,training_logs/pipinn/refit_017_20160131.csv
18,2017-01-31,1997-02-28,2017-01-31,500,-0.0008153311921403767,0.0008153311921403767,training_logs/pipinn/refit_018_20170131.csv
19,2018-01-31,1998-02-28,2018-01-31,500,-0.0007335481711659315,0.0007335481711659315,training_logs/pipinn/refit_019_20180131.csv
20,2019-01-31,1999-02-28,2019-01-31,500,-0.0010079544096594606,0.0010079544096594606,training_logs/pipinn/refit_020_20190131.csv
