oos_protocol,train_window_mode,refit_every,rebalance_every,rolling_train_months,fixed_train_end,decision_date,return_date,strategy,cross_mode,strategy_display,strategy_legacy_label,comparison_role,benchmark_primary,benchmark_note,benchmark_source,gross_return,net_return,turnover,risky_weight,stored_weights_space,weights_json,mu_l1,factor_var_json,factor_mu_json,mean_model_kind,hedge_signal_l2,costate_jxy_l2,costate_jx,costate_neg_jxx,costate_closed_form,train_objective,regime_probability,training_log_csv,training_window_start,training_window_end,refit_index
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,myopic,reference,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,0.01375020598696904,0.01375020598696904,0.169814181413793,0.169814181413793,pi,"{""Average"": 0.0037922539026971724, ""Value"": 0.04478258823979401, ""Weighted"": 0.055967347175959414, ""Returns"": 0.03194107158128402, ""--"": 0.01165616994589829, ""Monthly"": 0.02167475056816011, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,pipinn,estimated,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,0.028104711835119586,0.028104711835119586,0.22366568648378168,0.22366568648378168,pi,"{""Average"": 0.0, ""Value"": 0.0, ""Weighted"": 0.22366568648378168, ""Returns"": 0.0, ""--"": 0.0, ""Monthly"": 0.0, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0010125497260949662,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,pipinn_zero,zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,0.030053910882053683,0.030053910882053683,0.2391779943659519,0.2391779943659519,pi,"{""Average"": 0.0, ""Value"": 0.0, ""Weighted"": 0.2391779943659519, ""Returns"": 0.0, ""--"": 0.0, ""Monthly"": 0.0, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,equal_weight,benchmark,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,0.05536428874509322,0.05536428874509322,1.0,1.0,pi,"{""Average"": 0.1111111111111111, ""Value"": 0.1111111111111111, ""Weighted"": 0.1111111111111111, ""Returns"": 0.1111111111111111, ""--"": 0.1111111111111111, ""Monthly"": 0.1111111111111111, ""UST2Y"": 0.1111111111111111, ""UST5Y"": 0.1111111111111111, ""UST10Y"": 0.1111111111111111}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,min_variance,benchmark,min_variance,min_variance,external_benchmark,True,standard external benchmark,,0.0010008426680333062,0.0010008426680333062,0.22150919105028966,0.22150919105028966,pi,"{""Average"": 0.0, ""Value"": 0.0, ""Weighted"": 0.0, ""Returns"": 0.0, ""--"": 0.0, ""Monthly"": 0.003367983763650319, ""UST2Y"": 0.09093881788093561, ""UST5Y"": 0.07218305391897024, ""UST10Y"": 0.05501933548673348}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-01-31,2000-02-29,risk_parity,benchmark,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,0.02620091449004858,0.02620091449004858,1.0,1.0,pi,"{""Average"": 0.04376221827907701, ""Value"": 0.054687178552411245, ""Weighted"": 0.057781258465297865, ""Returns"": 0.053139432127275454, ""--"": 0.058303559741007545, ""Monthly"": 0.06198256371970691, ""UST2Y"": 0.35405006528425736, ""UST5Y"": 0.1856928008793525, ""UST10Y"": 0.13060092295161402}",0.0391539144579708,"{""Average"": 0.005981972765516228, ""Value"": 0.0028363978806864496, ""Weighted"": 0.002446529443986183, ""Returns"": 0.0027049241853533933, ""--"": 0.0024070954352528643, ""Monthly"": 0.0018698696062004422, ""UST2Y"": 2.6342548041698963e-05, ""UST5Y"": 0.00012830219886710568, ""UST10Y"": 0.0003211206267596016}","{""PLS1"": -0.3874950397783354, ""PLS2"": 0.39690732691784825}",factor_apt_regime,0.0,0.10827615471435462,1.0,5.0,True,-0.0013080762983940198,0.019142346237511966,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-02-29,2000-03-31,myopic,reference,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,0.007809734940757625,0.007809734940757625,0.8189254253003608,1.0,pi,"{""Average"": 0.16522979267465976, ""Value"": 0.19244346987577685, ""Weighted"": 0.20926264766113445, ""Returns"": 0.16167131425620512, ""--"": 0.1368029650285416, ""Monthly"": 0.13458981050368224, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.14304433736668803,"{""Average"": 0.008215116005946502, ""Value"": 0.0033736780081655474, ""Weighted"": 0.002806357732632838, ""Returns"": 0.0026243896340392286, ""--"": 0.002443693645825255, ""Monthly"": 0.001841308338240265, ""UST2Y"": 2.6554634745449168e-05, ""UST5Y"": 0.0001284593203517213, ""UST10Y"": 0.0003218430212260131}","{""PLS1"": -0.0841066573128136, ""PLS2"": 0.6663506043652851}",factor_apt_regime,0.0,0.13876535800951512,1.0,5.0,True,-0.0013080762983940198,0.1797267316396194,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-02-29,2000-03-31,pipinn,estimated,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,-0.01244322400026242,-0.01244322400026242,0.7551121053909939,1.0,pi,"{""Average"": 0.0, ""Value"": 0.17451736852378247, ""Weighted"": 0.7190570943484403, ""Returns"": 0.10642553712777711, ""--"": 0.0, ""Monthly"": 0.0, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.14304433736668803,"{""Average"": 0.008215116005946502, ""Value"": 0.0033736780081655474, ""Weighted"": 0.002806357732632838, ""Returns"": 0.0026243896340392286, ""--"": 0.002443693645825255, ""Monthly"": 0.001841308338240265, ""UST2Y"": 2.6554634745449168e-05, ""UST5Y"": 0.0001284593203517213, ""UST10Y"": 0.0003218430212260131}","{""PLS1"": -0.0841066573128136, ""PLS2"": 0.6663506043652851}",factor_apt_regime,0.003066355908129176,0.13876535800951512,1.0,5.0,True,-0.0013080762983940198,0.1797267316396194,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-02-29,2000-03-31,pipinn_zero,zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,-0.014010277558492028,-0.014010277558492028,0.738623481350158,0.9999999999999999,pi,"{""Average"": 0.0, ""Value"": 0.18513059213872662, ""Weighted"": 0.7207155626091672, ""Returns"": 0.09415384525210596, ""--"": 0.0, ""Monthly"": 0.0, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.14304433736668803,"{""Average"": 0.008215116005946502, ""Value"": 0.0033736780081655474, ""Weighted"": 0.002806357732632838, ""Returns"": 0.0026243896340392286, ""--"": 0.002443693645825255, ""Monthly"": 0.001841308338240265, ""UST2Y"": 2.6554634745449168e-05, ""UST5Y"": 0.0001284593203517213, ""UST10Y"": 0.0003218430212260131}","{""PLS1"": -0.0841066573128136, ""PLS2"": 0.6663506043652851}",factor_apt_regime,0.0,0.13876535800951512,1.0,5.0,True,-0.0013080762983940198,0.1797267316396194,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,12,1,240,,2000-02-29,2000-03-31,equal_weight,benchmark,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,0.01646897784646638,0.01646897784646638,0.08285588376368216,1.0,pi,"{""Average"": 0.1111111111111111, ""Value"": 0.1111111111111111, ""Weighted"": 0.1111111111111111, ""Returns"": 0.1111111111111111, ""--"": 0.1111111111111111, ""Monthly"": 0.1111111111111111, ""UST2Y"": 0.1111111111111111, ""UST5Y"": 0.1111111111111111, ""UST10Y"": 0.1111111111111111}",0.14304433736668803,"{""Average"": 0.008215116005946502, ""Value"": 0.0033736780081655474, ""Weighted"": 0.002806357732632838, ""Returns"": 0.0026243896340392286, ""--"": 0.002443693645825255, ""Monthly"": 0.001841308338240265, ""UST2Y"": 2.6554634745449168e-05, ""UST5Y"": 0.0001284593203517213, ""UST10Y"": 0.0003218430212260131}","{""PLS1"": -0.0841066573128136, ""PLS2"": 0.6663506043652851}",factor_apt_regime,0.0,0.13876535800951512,1.0,5.0,True,-0.0013080762983940198,0.1797267316396194,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
