refit_index,decision_date,train_window_start,train_window_end,epochs_logged,train_objective,best_validation_loss,history_csv
1,2000-01-31,1980-02-29,2000-01-31,500,-0.0011794035851791784,0.0011794035851791784,training_logs/pipinn/refit_001_20000131.csv
2,2001-01-31,1981-02-28,2001-01-31,500,-0.0008475874142283478,0.0008475874142283478,training_logs/pipinn/refit_002_20010131.csv
3,2002-01-31,1982-02-28,2002-01-31,500,-0.0007070138878617326,0.0007070138878617326,training_logs/pipinn/refit_003_20020131.csv
4,2003-01-31,1983-02-28,2003-01-31,500,-0.0004401615621429793,0.0004401615621429793,training_logs/pipinn/refit_004_20030131.csv
5,2004-01-31,1984-02-29,2004-01-31,500,-0.000581164518125545,0.000581164518125545,training_logs/pipinn/refit_005_20040131.csv
6,2005-01-31,1985-02-28,2005-01-31,500,-0.0005036132180497135,0.0005036132180497135,training_logs/pipinn/refit_006_20050131.csv
7,2006-01-31,1986-02-28,2006-01-31,500,-0.0004878886323861053,0.0004878886323861053,training_logs/pipinn/refit_007_20060131.csv
8,2007-01-31,1987-02-28,2007-01-31,500,-0.0006176059376976432,0.0006176059376976432,training_logs/pipinn/refit_008_20070131.csv
9,2008-01-31,1988-02-29,2008-01-31,500,-0.0004984798604164525,0.0004984798604164525,training_logs/pipinn/refit_009_20080131.csv
10,2009-01-31,1989-02-28,2009-01-31,500,-0.0005728788754091616,0.0005728788754091616,training_logs/pipinn/refit_010_20090131.csv
11,2010-01-31,1990-02-28,2010-01-31,500,-0.00048350453936989103,0.00048350453936989103,training_logs/pipinn/refit_011_20100131.csv
12,2011-01-31,1991-02-28,2011-01-31,500,-0.0005049126843951159,0.0005049126843951159,training_logs/pipinn/refit_012_20110131.csv
13,2012-01-31,1992-02-29,2012-01-31,500,-0.0004448133350814194,0.0004448133350814194,training_logs/pipinn/refit_013_20120131.csv
14,2013-01-31,1993-02-28,2013-01-31,500,-0.0004981961730317566,0.0004981961730317566,training_logs/pipinn/refit_014_20130131.csv
15,2014-01-31,1994-02-28,2014-01-31,500,-0.000522158783692936,0.000522158783692936,training_logs/pipinn/refit_015_20140131.csv
16,2015-01-31,1995-02-28,2015-01-31,500,-0.00050787231040643,0.00050787231040643,training_logs/pipinn/refit_016_20150131.csv
17,2016-01-31,1996-02-29,2016-01-31,500,-0.0005741926450121851,0.0005741926450121851,training_logs/pipinn/refit_017_20160131.csv
18,2017-01-31,1997-02-28,2017-01-31,500,-0.000538244571644849,0.000538244571644849,training_logs/pipinn/refit_018_20170131.csv
19,2018-01-31,1998-02-28,2018-01-31,500,-0.0005512683245106423,0.0005512683245106423,training_logs/pipinn/refit_019_20180131.csv
20,2019-01-31,1999-02-28,2019-01-31,500,-0.0004887095047636118,0.0004887095047636118,training_logs/pipinn/refit_020_20190131.csv
