refit_index,decision_date,train_window_start,train_window_end,epochs_logged,train_objective,best_validation_loss,history_csv
1,2000-01-31,1980-02-29,2000-01-31,500,-0.0011200193995013626,0.0011200193995013626,training_logs/pipinn/refit_001_20000131.csv
2,2001-01-31,1981-02-28,2001-01-31,500,-0.0008020447088279253,0.0008020447088279253,training_logs/pipinn/refit_002_20010131.csv
3,2002-01-31,1982-02-28,2002-01-31,500,-0.000758709132814097,0.000758709132814097,training_logs/pipinn/refit_003_20020131.csv
4,2003-01-31,1983-02-28,2003-01-31,500,-0.0004241762682990698,0.0004241762682990698,training_logs/pipinn/refit_004_20030131.csv
5,2004-01-31,1984-02-29,2004-01-31,500,-0.0005543260136897258,0.0005543260136897258,training_logs/pipinn/refit_005_20040131.csv
6,2005-01-31,1985-02-28,2005-01-31,500,-0.0005164281043306166,0.0005164281043306166,training_logs/pipinn/refit_006_20050131.csv
7,2006-01-31,1986-02-28,2006-01-31,500,-0.0005331542420864208,0.0005331542420864208,training_logs/pipinn/refit_007_20060131.csv
8,2007-01-31,1987-02-28,2007-01-31,500,-0.0005830368201333323,0.0005830368201333323,training_logs/pipinn/refit_008_20070131.csv
9,2008-01-31,1988-02-29,2008-01-31,500,-0.0005511256403502625,0.0005511256403502625,training_logs/pipinn/refit_009_20080131.csv
10,2009-01-31,1989-02-28,2009-01-31,500,-0.0006037535292306492,0.0006037535292306492,training_logs/pipinn/refit_010_20090131.csv
11,2010-01-31,1990-02-28,2010-01-31,500,-0.0006502810238374902,0.0006502810238374902,training_logs/pipinn/refit_011_20100131.csv
12,2011-01-31,1991-02-28,2011-01-31,500,-0.0006073143916257804,0.0006073143916257804,training_logs/pipinn/refit_012_20110131.csv
13,2012-01-31,1992-02-29,2012-01-31,500,-0.0005650908625014488,0.0005650908625014488,training_logs/pipinn/refit_013_20120131.csv
14,2013-01-31,1993-02-28,2013-01-31,500,-0.0005326309803775109,0.0005326309803775109,training_logs/pipinn/refit_014_20130131.csv
15,2014-01-31,1994-02-28,2014-01-31,500,-0.0006700223978670864,0.0006700223978670864,training_logs/pipinn/refit_015_20140131.csv
16,2015-01-31,1995-02-28,2015-01-31,500,-0.0006408805747030631,0.0006408805747030631,training_logs/pipinn/refit_016_20150131.csv
17,2016-01-31,1996-02-29,2016-01-31,500,-0.0006833296681088621,0.0006833296681088621,training_logs/pipinn/refit_017_20160131.csv
18,2017-01-31,1997-02-28,2017-01-31,500,-0.0007229758020575592,0.0007229758020575592,training_logs/pipinn/refit_018_20170131.csv
19,2018-01-31,1998-02-28,2018-01-31,500,-0.0007235176869480139,0.0007235176869480139,training_logs/pipinn/refit_019_20180131.csv
20,2019-01-31,1999-02-28,2019-01-31,500,-0.000721549658110112,0.000721549658110112,training_logs/pipinn/refit_020_20190131.csv
