refit_index,decision_date,train_window_start,train_window_end,epochs_logged,train_objective,best_validation_loss,history_csv
1,2000-01-31,1980-02-29,2000-01-31,500,-0.001686132182459418,0.001686132182459418,training_logs/pipinn/refit_001_20000131.csv
2,2001-01-31,1981-02-28,2001-01-31,500,-0.0011785844886778522,0.0011785844886778522,training_logs/pipinn/refit_002_20010131.csv
3,2002-01-31,1982-02-28,2002-01-31,500,-0.0010570768460020287,0.0010570768460020287,training_logs/pipinn/refit_003_20020131.csv
4,2003-01-31,1983-02-28,2003-01-31,500,-0.0006492273650655708,0.0006492273650655708,training_logs/pipinn/refit_004_20030131.csv
5,2004-01-31,1984-02-29,2004-01-31,500,-0.0007754511212359151,0.0007754511212359151,training_logs/pipinn/refit_005_20040131.csv
6,2005-01-31,1985-02-28,2005-01-31,500,-0.0007558827760117005,0.0007558827760117005,training_logs/pipinn/refit_006_20050131.csv
7,2006-01-31,1986-02-28,2006-01-31,500,-0.000711544257142405,0.000711544257142405,training_logs/pipinn/refit_007_20060131.csv
8,2007-01-31,1987-02-28,2007-01-31,500,-0.0007203459714853632,0.0007203459714853632,training_logs/pipinn/refit_008_20070131.csv
9,2008-01-31,1988-02-29,2008-01-31,500,-0.0008036795692189608,0.0008036795692189608,training_logs/pipinn/refit_009_20080131.csv
10,2009-01-31,1989-02-28,2009-01-31,500,-0.0008584957107038383,0.0008584957107038383,training_logs/pipinn/refit_010_20090131.csv
11,2010-01-31,1990-02-28,2010-01-31,500,-0.0007520112681557895,0.0007520112681557895,training_logs/pipinn/refit_011_20100131.csv
12,2011-01-31,1991-02-28,2011-01-31,500,-0.0008073963661174746,0.0008073963661174746,training_logs/pipinn/refit_012_20110131.csv
13,2012-01-31,1992-02-29,2012-01-31,500,-0.0007030625710105099,0.0007030625710105099,training_logs/pipinn/refit_013_20120131.csv
14,2013-01-31,1993-02-28,2013-01-31,500,-0.0007901078630823763,0.0007901078630823763,training_logs/pipinn/refit_014_20130131.csv
15,2014-01-31,1994-02-28,2014-01-31,500,-0.0008253147573125705,0.0008253147573125705,training_logs/pipinn/refit_015_20140131.csv
16,2015-01-31,1995-02-28,2015-01-31,500,-0.0007347373721275838,0.0007347373721275838,training_logs/pipinn/refit_016_20150131.csv
17,2016-01-31,1996-02-29,2016-01-31,500,-0.0008018711078370027,0.0008018711078370027,training_logs/pipinn/refit_017_20160131.csv
18,2017-01-31,1997-02-28,2017-01-31,500,-0.0008725853893974193,0.0008725853893974193,training_logs/pipinn/refit_018_20170131.csv
19,2018-01-31,1998-02-28,2018-01-31,500,-0.0007817889164832971,0.0007817889164832971,training_logs/pipinn/refit_019_20180131.csv
20,2019-01-31,1999-02-28,2019-01-31,500,-0.0007570782603355959,0.0007570782603355959,training_logs/pipinn/refit_020_20190131.csv
