rank,spec,oos_protocol,oos_protocol_requested,train_window_mode,refit_every,rebalance_every,rolling_train_months,fixed_train_end,strategy_display,strategy,strategy_legacy_label,comparison_role,benchmark_primary,benchmark_note,benchmark_source,cross_mode,months,ann_ret,ann_vol,sharpe,cer_ann,avg_turnover,avg_risky_weight,max_drawdown
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.0572033718820055,0.0819032565291267,0.7214889860580392,0.0423219389328612,0.3284537750868217,0.655273511505805,-0.1442944412532979
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.0760064352145866,0.1005946512374693,0.7803714257145066,0.0532029817614672,0.7294220461400361,0.9198511077539572,-0.2177620491347575
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.0797019706988926,0.1090696319817789,0.7594834421607106,0.0530961179811216,0.7048341051479887,0.9362042391385724,-0.2510812865762002
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.0595244820262936,0.1083922886803732,0.5891641767473172,0.0344886329127062,0.0273247826163451,1.0,-0.3838273760651853
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.0093393967817858,0.0101155612382596,0.924376800023638,0.0090947786799531,0.0041523229576054,0.305837818537421,-0.0136409213468017
1,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279,0.0311466626507173,0.5572194316911449,0.0149302391756145,0.0185424714692625,0.5394893960907468,-0.0982110753201985
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.0561968071926155,0.0824351437258885,0.7057085132813841,0.0411863004181642,0.334442628777498,0.6540199959329671,-0.1384843499943422
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.0768282549895986,0.0994546518498963,0.7958360365310618,0.0544215265063379,0.7339166859912637,0.9234220416394756,-0.2074961329531048
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.0802469015150009,0.1082610185506886,0.7689672728208063,0.0539480598436444,0.7152054214208554,0.9408971161264178,-0.2439877595156127
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.0595244820262936,0.1083922886803732,0.5891641767473172,0.0344886329127062,0.0273247826163451,1.0,-0.3838273760651853
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.0093393967817858,0.0101155612382596,0.924376800023638,0.0090947786799531,0.0041523229576054,0.305837818537421,-0.0136409213468017
2,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279,0.0311466626507173,0.5572194316911449,0.0149302391756145,0.0185424714692625,0.5394893960907468,-0.0982110753201985
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.0561776291949638,0.0824048126263566,0.7057169314594303,0.0411780886441993,0.3344673681674892,0.6540182874077108,-0.1384286084953337
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.0765082762113285,0.0993552826768156,0.7935257370253002,0.0541622934240023,0.7334452682107881,0.9236836117197978,-0.2070970179525993
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.0802313849013129,0.1082781445510974,0.7687310287177209,0.0539263779798403,0.7147358540301577,0.9410339241286806,-0.2441879376179934
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.0595244820262936,0.1083922886803732,0.5891641767473172,0.0344886329127062,0.0273247826163451,1.0,-0.3838273760651853
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.0093393967817858,0.0101155612382596,0.924376800023638,0.0090947786799531,0.0041523229576054,0.305837818537421,-0.0136409213468017
3,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279,0.0311466626507173,0.5572194316911449,0.0149302391756145,0.0185424714692625,0.5394893960907468,-0.0982110753201985
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.0593295918479954,0.082975711332034,0.7374648400141189,0.0439792480048936,0.2774458270314163,0.630804823066897,-0.1491154213709392
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.0829088848319254,0.1071201224191581,0.7989893357774303,0.0569010338923416,0.7400534832164484,0.9233741373510634,-0.2227407975330957
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.0836477761527412,0.1139859081838613,0.7635856434637033,0.0545560348851192,0.7229116949115393,0.93768838133793,-0.2563053060268303
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_regime_gated,pipinn_regime_gated,ppgdpo_regime_gated,method_candidate,False,PI-PINN value-gradient projection with regime-gated cross,,regime_gated,239,0.0833471058705235,0.1073192158408917,0.8014986436214097,0.0572226707092282,0.7363692077395002,0.9242120511934002,-0.2227647244360676
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.0595244820262936,0.1083922886803732,0.5891641767473172,0.0344886329127062,0.0273247826163451,1.0,-0.3838273760651853
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.0093393967817858,0.0101155612382596,0.924376800023638,0.0090947786799531,0.0041523229576054,0.305837818537421,-0.0136409213468017
4,pls_H1_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279,0.0311466626507173,0.5572194316911449,0.0149302391756145,0.0185424714692625,0.5394893960907468,-0.0982110753201985
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.0577456801627842,0.0808122388308579,0.7362995967490195,0.0431754740014071,0.3403843111815877,0.6135319472887639,-0.1317589091624128
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.0812622247284469,0.0983558314014845,0.845565188242128,0.0589815931670141,0.7578916714141745,0.922809214832858,-0.1805407406948156
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.0845029767436673,0.107515806675472,0.8102007577877756,0.0582102663299377,0.7370286863977754,0.9378290496826482,-0.2281604038084741
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.0595244820262936,0.1083922886803732,0.5891641767473172,0.0344886329127062,0.0273247826163451,1.0,-0.3838273760651853
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.0093393967817858,0.0101155612382596,0.924376800023638,0.0090947786799531,0.0041523229576054,0.305837818537421,-0.0136409213468017
5,pls_H2_k2,rolling240m_annual,selected_protocol,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279,0.0311466626507173,0.5572194316911449,0.0149302391756145,0.0185424714692625,0.5394893960907468,-0.0982110753201985
