selection_unit_id,spec,kind,block,selection_split_mode,train_start_date,train_end_date,val_start_date,val_end_date,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,train_obs,train_obs_min,train_obs_max,val_obs,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,stage1_engine,cross_mean_abs_rho,cross_max_abs_rho
ff1__rolling240m_annual__baseline_mean,ff1,provided,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.012817353393551648,0.008329449015503698,-0.010676319871876906,-0.017831436098041276,0.00649980496197744,0.00649980496197744,-0.013340794571699677,-0.025516536150804736,ported_legacy_v2,0.0,0.0
ff3__rolling240m_annual__baseline_mean,ff3,provided,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.011088817162296717,-0.003409063853133887,-0.03333628215229879,-0.05809571757604616,0.04426235344784757,0.04107156178196314,-0.02311187754267859,-0.03702792265061775,ported_legacy_v2,0.32521850283683157,0.5098654616622934
ff5__rolling240m_annual__baseline_mean,ff5,provided,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,-0.001417586156958565,-0.015604980848128447,-0.051876264533973586,-0.12364307601992536,0.020452582435410725,0.004800840306979581,-0.021520601411283934,-0.04220083973906748,ported_legacy_v2,0.29791804145678846,0.7808098270879255
ff3_curve_core__rolling240m_annual__baseline_mean,ff3_curve_core,provided,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.030676621470172916,0.015357057068099755,-0.013792759504870085,-0.03492730296901032,0.023751578357497805,0.018745403475835087,-0.03650219075001915,-0.05279970086348055,ported_legacy_v2,0.3364178282057718,0.9492599906718816
ff5_curve_core__rolling240m_annual__baseline_mean,ff5_curve_core,provided,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.017621452495412717,-0.0001310437644512774,-0.031064105561470087,-0.08275682983407313,0.006828269240081036,-0.0015760995591836968,-0.043441379286509804,-0.05624678521382537,ported_legacy_v2,0.27081357787090565,0.9492599906718816
pca_k1__rolling240m_annual__baseline_mean,pca_k1,pca,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.019553473495871332,0.010771107861305307,-0.009240556426773053,-0.02403889891804383,0.027422443401133312,0.027422443401133312,-0.0012218132530219528,-0.03564980549003982,ported_legacy_v2,0.0,0.0
pca_k2__rolling240m_annual__baseline_mean,pca_k2,pca,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.010329538413667412,0.002843683796738161,-0.023317375015633825,-0.06235775368662788,0.03311973676919977,0.03311973676919977,-0.020707683626374318,-0.0261826253834182,ported_legacy_v2,0.26877212666299877,0.26877212666299877
pca_k3__rolling240m_annual__baseline_mean,pca_k3,pca,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.009565658003581902,0.001006943065312682,-0.01743360365657292,-0.05471598438362727,0.03282358427155344,0.03916222976623096,-0.02581378906659852,-0.031617713567166694,ported_legacy_v2,0.24447724817608454,0.4138707500426011
pca_k4__rolling240m_annual__baseline_mean,pca_k4,pca,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.030819810162815986,0.021193248948834564,-0.01556208242639539,-0.03732438974146854,0.016758381430603264,0.03570076885429563,-0.04213972277518971,-0.050220310488090836,ported_legacy_v2,0.17459775905290376,0.4138707500426011
ff3_pcares_k1__rolling240m_annual__baseline_mean,ff3_pcares_k1,resid_pca,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03179692894848688,0.021126263668349132,-0.015222093578449478,-0.04030497112439852,0.030395567099886805,0.030870417153205654,-0.03259128838540071,-0.04459130456474664,ported_legacy_v2,0.19773230157931213,0.5098654616622934
