selection_unit_id,spec,kind,factor_dim,state_dim,horizon,latent_k,feature_blocks,provided_source,residual_base,residual_k,stage1_engine,legacy_spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,train_obs_mean,train_obs_min_mean,train_obs_max_mean,cross_mean_abs_rho,cross_max_abs_rho,n_blocks,selection_split_mode,selection_val_months_requested,fail_return,fail_state,fail_cross,warn_cross,passes_guard,score_ret_mean_rank,score_ret_q10_rank,score_state_mean_rank,score_state_q10_rank,score_ret_mean_component,score_ret_q10_component,score_state_mean_component,score,stage1_mean_variant_label,mean_model_kind,cheap_rank,cheap_selected_for_rerank,recommended,official_selected_stage1,diagnostic_stage2,stage1_selected_rank
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,pls,2,2,1.0,2.0,returns,,,,ported_legacy_v2,pls_H1_k2,rolling240m_annual,rolling,240,12,1,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,234.0,192.0,240.0,0.6312442468279548,0.845405750264634,1,trailing_holdout,240,False,False,False,False,True,1.0,0.98,0.43999999999999995,0.42000000000000004,0.0390956113068897,-0.00010222250535622534,0.0,0.03899338880153347,baseline_mean,factor_apt,1,True,False,True,True,1.0
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,pls,2,2,1.0,2.0,returns,,,,ported_legacy_v2,pls_H1_k2,rolling240m_annual,rolling,240,12,1,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,234.0,192.0,240.0,0.6312442468279548,0.845405750264634,1,trailing_holdout,240,False,False,False,False,True,1.0,0.98,0.43999999999999995,0.42000000000000004,0.0390956113068897,-0.00010222250535622534,0.0,0.03899338880153347,regime_mean,factor_apt_regime,2,True,False,True,True,2.0
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,pls,2,2,24.0,2.0,returns,,,,ported_legacy_v2,pls_H24_k2,rolling240m_annual,rolling,240,12,1,0.045385471265688655,0.04069564419146765,-0.0014508100518091124,-0.02555646753235403,0.5673885129999838,0.5673885129999838,0.5231782370043916,0.4893649063636906,234.0,192.0,240.0,0.5243822287088782,0.9495517793728344,1,trailing_holdout,240,False,False,False,False,True,0.98,0.96,0.31999999999999995,0.48,0.03857765057583536,-0.00021762150777136685,0.0,0.03836002906806399,baseline_mean,factor_apt,3,True,False,True,True,3.0
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,pls,2,2,24.0,2.0,returns,,,,ported_legacy_v2,pls_H24_k2,rolling240m_annual,rolling,240,12,1,0.045385471265688655,0.04069564419146765,-0.0014508100518091124,-0.02555646753235403,0.5673885129999838,0.5673885129999838,0.5231782370043916,0.4893649063636906,234.0,192.0,240.0,0.5243822287088782,0.9495517793728344,1,trailing_holdout,240,False,False,False,False,True,0.98,0.96,0.31999999999999995,0.48,0.03857765057583536,-0.00021762150777136685,0.0,0.03836002906806399,regime_mean,factor_apt_regime,4,True,False,True,True,4.0
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,pls,2,2,2.0,2.0,returns,,,,ported_legacy_v2,pls_H2_k2,rolling240m_annual,rolling,240,12,1,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,234.0,192.0,240.0,0.6374434350520934,0.8448145814569078,1,trailing_holdout,240,False,False,False,False,True,0.96,0.92,0.42000000000000004,0.45999999999999996,0.038511727285178675,-0.00042660781221962225,0.0,0.038085119472959054,baseline_mean,factor_apt,5,True,False,True,True,5.0
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,pls,2,2,2.0,2.0,returns,,,,ported_legacy_v2,pls_H2_k2,rolling240m_annual,rolling,240,12,1,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,234.0,192.0,240.0,0.6374434350520934,0.8448145814569078,1,trailing_holdout,240,False,False,False,False,True,0.96,0.92,0.42000000000000004,0.45999999999999996,0.038511727285178675,-0.00042660781221962225,0.0,0.038085119472959054,regime_mean,factor_apt_regime,6,True,False,True,True,6.0
pls_H12_k2__rolling240m_annual__baseline_mean,pls_H12_k2,pls,2,2,12.0,2.0,returns,,,,ported_legacy_v2,pls_H12_k2,rolling240m_annual,rolling,240,12,1,0.04393403270776767,0.03924292567086418,-0.002989471125259799,-0.02799367512841348,0.5708345372217636,0.5708345372217636,0.5180973973616043,0.4732718293301915,234.0,192.0,240.0,0.5800241867056645,0.9425475285901042,1,trailing_holdout,240,False,False,False,False,True,0.92,0.9,0.33999999999999997,0.43999999999999995,0.03734392780160252,-0.00044842066878896983,0.0,0.03689550713281355,baseline_mean,factor_apt,7,True,False,True,True,7.0
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,pls,2,2,12.0,2.0,returns,,,,ported_legacy_v2,pls_H12_k2,rolling240m_annual,rolling,240,12,1,0.04393403270776767,0.03924292567086418,-0.002989471125259799,-0.02799367512841348,0.5708345372217636,0.5708345372217636,0.5180973973616043,0.4732718293301915,234.0,192.0,240.0,0.5800241867056645,0.9425475285901042,1,trailing_holdout,240,False,False,False,False,True,0.92,0.9,0.33999999999999997,0.43999999999999995,0.03734392780160252,-0.00044842066878896983,0.0,0.03689550713281355,regime_mean,factor_apt_regime,8,True,False,True,True,8.0
pls_H6_k2__rolling240m_annual__baseline_mean,pls_H6_k2,pls,2,2,6.0,2.0,returns,,,,ported_legacy_v2,pls_H6_k2,rolling240m_annual,rolling,240,12,1,0.04385078196245705,0.03993670790770243,-0.006463955690601603,-0.03280516629070261,0.5756889488522338,0.5756889488522338,0.5108803644236338,0.46516838631409063,234.0,192.0,240.0,0.516648714872923,0.9638346545075217,1,trailing_holdout,240,False,False,False,True,True,0.9,0.84,0.36,0.38,0.03727316466808849,-0.0009695933535902405,0.0,0.036303571314498254,baseline_mean,factor_apt,9,False,False,False,False,
pls_H6_k2__rolling240m_annual__regime_mean,pls_H6_k2,pls,2,2,6.0,2.0,returns,,,,ported_legacy_v2,pls_H6_k2,rolling240m_annual,rolling,240,12,1,0.04385078196245705,0.03993670790770243,-0.006463955690601603,-0.03280516629070261,0.5756889488522338,0.5756889488522338,0.5108803644236338,0.46516838631409063,234.0,192.0,240.0,0.516648714872923,0.9638346545075217,1,trailing_holdout,240,False,False,False,True,True,0.9,0.84,0.36,0.38,0.03727316466808849,-0.0009695933535902405,0.0,0.036303571314498254,regime_mean,factor_apt_regime,10,False,False,False,False,
