selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,ppgdpo_lite_blocks_valid,ppgdpo_lite_score_mean,ppgdpo_lite_score_q10,ppgdpo_lite_ce_mean,ppgdpo_lite_predictive_static_ce_mean,ppgdpo_lite_myopic_ce_mean,ppgdpo_lite_equal_weight_ce_mean,ppgdpo_lite_min_variance_ce_mean,ppgdpo_lite_risk_parity_ce_mean,ppgdpo_lite_ce_delta_predictive_static_mean,ppgdpo_lite_ce_delta_myopic_mean,ppgdpo_lite_ce_delta_zero_mean,ppgdpo_lite_ce_delta_equal_weight_mean,ppgdpo_lite_ce_delta_min_variance_mean,ppgdpo_lite_ce_delta_risk_parity_mean,ppgdpo_lite_sharpe_mean,ppgdpo_lite_train_objective_mean,assigned_device,stage2_rank_myopic_ce,stage2_rank_ce_gain,stage2_rank_ppgdpo_score,stage2_rank_ppgdpo_q10,stage2_rank_hedging_gain,stage2_real_ppgdpo_score,stage2_mean_first_score,stage2_sort_score,diagnostic_rank,selected_stage2_model,selected_stage2_model_rank
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,1,0.09031709760385859,0.09031709760385859,0.089611232767309,0.0692259649237642,0.0692259649237642,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020385267843544788,0.020385267843544788,0.000705864836549594,0.04663579618113219,0.084571937445504,0.051794683319431496,1.1360385546035598,,cuda:1,0.204225352112676,0.8309859154929577,0.9436619718309859,0.9436619718309859,0.9295774647887324,0.9401408450704225,0.9401408450704225,0.9401408450704225,1.0,True,2.0
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1,0.0905689574728103,0.0905689574728103,0.0905689574728103,0.0704928201560207,0.0704928201560207,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020076137316789602,0.020076137316789602,0.0,0.047593520886633496,0.0855296621510053,0.0527524080249328,1.1288943900748885,,cuda:1,0.28873239436619713,0.8028169014084507,1.0,1.0,0.6690140845070423,0.9172535211267605,0.9172535211267605,0.9172535211267605,2.0,True,6.0
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,1,0.0905183179037933,0.0905183179037933,0.0905183179037933,0.0704761413899585,0.0704761413899585,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020042176513834803,0.020042176513834803,0.0,0.047542881317616505,0.0854790225819883,0.05270176845591581,1.1282589822476834,,cuda:1,0.2605633802816901,0.7887323943661972,0.9859154929577465,0.9859154929577465,0.6690140845070423,0.9066901408450705,0.9066901408450705,0.9066901408450705,3.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,regime_gated,pure_qp,1,0.0901656098190743,0.0901656098190743,0.0890027493839866,0.0616838096914077,0.0616838096914077,0.0429754365861768,0.005039295321805,0.0378165494478775,0.027318939692578897,0.027318939692578897,0.0011628604350877036,0.0460273127978098,0.0839634540621816,0.0511861999361091,1.1272983701283703,,cuda:1,0.014084507042253502,1.0,0.8873239436619719,0.8873239436619719,0.9577464788732395,0.9049295774647887,0.9049295774647887,0.9049295774647887,4.0,False,
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1,0.0904142305247095,0.0904142305247095,0.0904142305247095,0.0718879015157979,0.0718879015157979,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0185263290089116,0.0185263290089116,0.0,0.047438793938532696,0.0853749352029045,0.052597681076832,1.1219688892635464,,cuda:0,0.6690140845070423,0.6901408450704225,0.971830985915493,0.971830985915493,0.6690140845070423,0.8961267605633803,0.8961267605633803,0.8961267605633803,5.0,True,5.0
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__baseline_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt,zero,pure_qp,1,0.090356425985012,0.090356425985012,0.090356425985012,0.0718698395298264,0.0718698395298264,0.0429754365861768,0.005039295321805,0.0378165494478775,0.01848658645518561,0.01848658645518561,0.0,0.047380989398835206,0.08531713066320701,0.05253987653713451,1.1212663223909176,,cuda:0,0.6408450704225352,0.676056338028169,0.9577464788732395,0.9577464788732395,0.6690140845070423,0.8855633802816902,0.8855633802816902,0.8855633802816902,6.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__adcc,adcc,adcc,asset_adcc,factor_apt_regime,estimated,pure_qp,1,0.0899676825230615,0.0899676825230615,0.0894041152209834,0.0692109090907599,0.0692109090907599,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020193206130223504,0.020193206130223504,0.0005635673020780996,0.046428678634806604,0.0843648198991784,0.05158756577310591,1.1335709227503672,,cuda:1,0.176056338028169,0.8169014084507042,0.8591549295774648,0.8591549295774648,0.9014084507042254,0.869718309859155,0.869718309859155,0.869718309859155,7.0,False,
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1,0.0903063904956805,0.0903063904956805,0.0903063904956805,0.0712240418764539,0.0712240418764539,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0190823486192266,0.0190823486192266,0.0,0.0473309539095037,0.0852670951738755,0.052489841047803,1.1299574815398934,,cuda:1,0.4859154929577465,0.7183098591549295,0.9295774647887324,0.9295774647887324,0.6690140845070423,0.8644366197183098,0.8644366197183098,0.8644366197183098,8.0,True,4.0
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,1,0.0902371232577732,0.0902371232577732,0.0902371232577732,0.0712141778636604,0.0712141778636604,0.0429754365861768,0.005039295321805,0.0378165494478775,0.019022945394112797,0.019022945394112797,0.0,0.047261686671596394,0.0851978279359682,0.0524205738098957,1.129175229665613,,cuda:1,0.4577464788732394,0.704225352112676,0.9154929577464789,0.9154929577464789,0.6690140845070423,0.8538732394366197,0.8538732394366197,0.8538732394366197,9.0,False,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1,0.0902132294767025,0.0902132294767025,0.0902132294767025,0.0720215229758336,0.0720215229758336,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018191706500868904,0.018191706500868904,0.0,0.0472377928905257,0.0851739341548975,0.052396680028825006,1.1285680327947316,,cuda:1,0.7253521126760563,0.647887323943662,0.9014084507042254,0.9014084507042254,0.6690140845070423,0.8433098591549295,0.8433098591549295,0.8433098591549295,10.0,True,8.0
