selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,ppgdpo_lite_blocks_valid,ppgdpo_lite_score_mean,ppgdpo_lite_score_q10,ppgdpo_lite_ce_mean,ppgdpo_lite_predictive_static_ce_mean,ppgdpo_lite_myopic_ce_mean,ppgdpo_lite_equal_weight_ce_mean,ppgdpo_lite_min_variance_ce_mean,ppgdpo_lite_risk_parity_ce_mean,ppgdpo_lite_ce_delta_predictive_static_mean,ppgdpo_lite_ce_delta_myopic_mean,ppgdpo_lite_ce_delta_zero_mean,ppgdpo_lite_ce_delta_equal_weight_mean,ppgdpo_lite_ce_delta_min_variance_mean,ppgdpo_lite_ce_delta_risk_parity_mean,ppgdpo_lite_sharpe_mean,ppgdpo_lite_train_objective_mean,assigned_device,stage2_rank_myopic_ce,stage2_rank_ce_gain,stage2_rank_ppgdpo_score,stage2_rank_ppgdpo_q10,stage2_rank_hedging_gain,stage2_real_ppgdpo_score,stage2_mean_first_score,stage2_sort_score,diagnostic_rank,selected_stage2_model,selected_stage2_model_rank,kind,factor_dim,state_dim,horizon,latent_k,feature_blocks,provided_source,residual_base,residual_k,stage1_engine,legacy_spec,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,train_obs_mean,train_obs_min_mean,train_obs_max_mean,cross_mean_abs_rho,cross_max_abs_rho,n_blocks,selection_split_mode,selection_val_months_requested,fail_return,fail_state,fail_cross,warn_cross,passes_guard,score_ret_mean_rank,score_ret_q10_rank,score_state_mean_rank,score_state_q10_rank,score_ret_mean_component,score_ret_q10_component,score_state_mean_component,score,stage1_mean_variant_label,cheap_rank,cheap_selected_for_rerank,recommended,official_selected_stage1,diagnostic_stage2,stage1_selected_rank,official_selected_model,official_oos_candidate,selection_role,selection_protocol,final_score,final_rank
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,1.0,0.09031709760385859,0.09031709760385859,0.089611232767309,0.0692259649237642,0.0692259649237642,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020385267843544788,0.020385267843544788,0.000705864836549594,0.04663579618113219,0.084571937445504,0.051794683319431496,1.1360385546035598,,cuda:1,0.204225352112676,0.8309859154929577,0.9436619718309859,0.9436619718309859,0.9295774647887324,0.9401408450704225,0.9401408450704225,0.9401408450704225,1.0,True,2.0,pls,2,2,1.0,2.0,returns,,,,ported_legacy_v2,pls_H1_k2,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,234.0,192.0,240.0,0.6312442468279548,0.845405750264634,1,trailing_holdout,240,False,False,False,False,True,1.0,0.98,0.43999999999999995,0.42000000000000004,0.0390956113068897,-0.00010222250535622534,0.0,0.03899338880153347,regime_mean,2,True,True,True,True,2.0,True,True,final_selected_model,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.9401408450704225,1.0
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1.0,0.0905689574728103,0.0905689574728103,0.0905689574728103,0.0704928201560207,0.0704928201560207,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020076137316789602,0.020076137316789602,0.0,0.047593520886633496,0.0855296621510053,0.0527524080249328,1.1288943900748885,,cuda:1,0.28873239436619713,0.8028169014084507,1.0,1.0,0.6690140845070423,0.9172535211267605,0.9172535211267605,0.9172535211267605,2.0,True,6.0,pls,2,2,2.0,2.0,returns,,,,ported_legacy_v2,pls_H2_k2,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,234.0,192.0,240.0,0.6374434350520934,0.8448145814569078,1,trailing_holdout,240,False,False,False,False,True,0.96,0.92,0.42000000000000004,0.45999999999999996,0.038511727285178675,-0.00042660781221962225,0.0,0.038085119472959054,regime_mean,6,True,True,True,True,6.0,True,True,final_selected_model,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.9172535211267605,2.0
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,1.0,0.0905183179037933,0.0905183179037933,0.0905183179037933,0.0704761413899585,0.0704761413899585,0.0429754365861768,0.005039295321805,0.0378165494478775,0.020042176513834803,0.020042176513834803,0.0,0.047542881317616505,0.0854790225819883,0.05270176845591581,1.1282589822476834,,cuda:1,0.2605633802816901,0.7887323943661972,0.9859154929577465,0.9859154929577465,0.6690140845070423,0.9066901408450705,0.9066901408450705,0.9066901408450705,3.0,False,,pls,2,2,2.0,2.0,returns,,,,ported_legacy_v2,pls_H2_k2,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,234.0,192.0,240.0,0.6374434350520934,0.8448145814569078,1,trailing_holdout,240,False,False,False,False,True,0.96,0.92,0.42000000000000004,0.45999999999999996,0.038511727285178675,-0.00042660781221962225,0.0,0.038085119472959054,regime_mean,6,True,True,True,True,6.0,True,True,final_selected_model,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.9066901408450705,3.0
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,regime_gated,pure_qp,1.0,0.0901656098190743,0.0901656098190743,0.0890027493839866,0.0616838096914077,0.0616838096914077,0.0429754365861768,0.005039295321805,0.0378165494478775,0.027318939692578897,0.027318939692578897,0.0011628604350877036,0.0460273127978098,0.0839634540621816,0.0511861999361091,1.1272983701283703,,cuda:1,0.014084507042253502,1.0,0.8873239436619719,0.8873239436619719,0.9577464788732395,0.9049295774647887,0.9049295774647887,0.9049295774647887,4.0,False,,pls,2,2,1.0,2.0,returns,,,,ported_legacy_v2,pls_H1_k2,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,234.0,192.0,240.0,0.6312442468279548,0.845405750264634,1,trailing_holdout,240,False,False,False,False,True,1.0,0.98,0.43999999999999995,0.42000000000000004,0.0390956113068897,-0.00010222250535622534,0.0,0.03899338880153347,regime_mean,2,True,True,True,True,2.0,True,True,final_selected_model,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.9049295774647887,4.0
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1.0,0.0904142305247095,0.0904142305247095,0.0904142305247095,0.0718879015157979,0.0718879015157979,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0185263290089116,0.0185263290089116,0.0,0.047438793938532696,0.0853749352029045,0.052597681076832,1.1219688892635464,,cuda:0,0.6690140845070423,0.6901408450704225,0.971830985915493,0.971830985915493,0.6690140845070423,0.8961267605633803,0.8961267605633803,0.8961267605633803,5.0,True,5.0,pls,2,2,2.0,2.0,returns,,,,ported_legacy_v2,pls_H2_k2,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,234.0,192.0,240.0,0.6374434350520934,0.8448145814569078,1,trailing_holdout,240,False,False,False,False,True,0.96,0.92,0.42000000000000004,0.45999999999999996,0.038511727285178675,-0.00042660781221962225,0.0,0.038085119472959054,baseline_mean,5,True,True,True,True,5.0,True,True,final_selected_model,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.8961267605633803,5.0
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1.0,0.0903063904956805,0.0903063904956805,0.0903063904956805,0.0712240418764539,0.0712240418764539,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0190823486192266,0.0190823486192266,0.0,0.0473309539095037,0.0852670951738755,0.052489841047803,1.1299574815398934,,cuda:1,0.4859154929577465,0.7183098591549295,0.9295774647887324,0.9295774647887324,0.6690140845070423,0.8644366197183098,0.8644366197183098,0.8644366197183098,8.0,True,4.0,pls,2,2,24.0,2.0,returns,,,,ported_legacy_v2,pls_H24_k2,0.045385471265688655,0.04069564419146765,-0.0014508100518091124,-0.02555646753235403,0.5673885129999838,0.5673885129999838,0.5231782370043916,0.4893649063636906,234.0,192.0,240.0,0.5243822287088782,0.9495517793728344,1,trailing_holdout,240,False,False,False,False,True,0.98,0.96,0.31999999999999995,0.48,0.03857765057583536,-0.00021762150777136685,0.0,0.03836002906806399,regime_mean,4,True,False,True,True,4.0,False,False,stage1_survivor_stage2_nonselected,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.8644366197183098,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1.0,0.0902132294767025,0.0902132294767025,0.0902132294767025,0.0720215229758336,0.0720215229758336,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018191706500868904,0.018191706500868904,0.0,0.0472377928905257,0.0851739341548975,0.052396680028825006,1.1285680327947316,,cuda:1,0.7253521126760563,0.647887323943662,0.9014084507042254,0.9014084507042254,0.6690140845070423,0.8433098591549295,0.8433098591549295,0.8433098591549295,10.0,True,8.0,pls,2,2,12.0,2.0,returns,,,,ported_legacy_v2,pls_H12_k2,0.04393403270776767,0.03924292567086418,-0.002989471125259799,-0.02799367512841348,0.5708345372217636,0.5708345372217636,0.5180973973616043,0.4732718293301915,234.0,192.0,240.0,0.5800241867056645,0.9425475285901042,1,trailing_holdout,240,False,False,False,False,True,0.92,0.9,0.33999999999999997,0.43999999999999995,0.03734392780160252,-0.00044842066878896983,0.0,0.03689550713281355,regime_mean,8,True,False,True,True,8.0,False,False,stage1_survivor_stage2_nonselected,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.8433098591549295,
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1.0,0.0897475822277051,0.0897475822277051,0.0897475822277051,0.0717013733388092,0.0717013733388092,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018046208888895895,0.018046208888895895,0.0,0.0467721456415283,0.0847082869059001,0.0519310327798276,1.113557698318269,,cuda:0,0.5845070422535211,0.6056338028169015,0.8309859154929577,0.8309859154929577,0.6690140845070423,0.790492957746479,0.790492957746479,0.790492957746479,12.0,True,1.0,pls,2,2,1.0,2.0,returns,,,,ported_legacy_v2,pls_H1_k2,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,234.0,192.0,240.0,0.6312442468279548,0.845405750264634,1,trailing_holdout,240,False,False,False,False,True,1.0,0.98,0.43999999999999995,0.42000000000000004,0.0390956113068897,-0.00010222250535622534,0.0,0.03899338880153347,baseline_mean,1,True,False,True,True,1.0,False,False,stage1_survivor_stage2_nonselected,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.790492957746479,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1.0,0.0897177430447224,0.0897177430447224,0.0897177430447224,0.0728093314755143,0.0728093314755143,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016908411569208096,0.016908411569208096,0.0,0.046742306458545595,0.0846784477229174,0.0519011935968449,1.1243225007375446,,cuda:0,0.9647887323943662,0.47887323943661975,0.8169014084507042,0.8169014084507042,0.6690140845070423,0.7799295774647887,0.7799295774647887,0.7799295774647887,13.0,True,3.0,pls,2,2,24.0,2.0,returns,,,,ported_legacy_v2,pls_H24_k2,0.045385471265688655,0.04069564419146765,-0.0014508100518091124,-0.02555646753235403,0.5673885129999838,0.5673885129999838,0.5231782370043916,0.4893649063636906,234.0,192.0,240.0,0.5243822287088782,0.9495517793728344,1,trailing_holdout,240,False,False,False,False,True,0.98,0.96,0.31999999999999995,0.48,0.03857765057583536,-0.00021762150777136685,0.0,0.03836002906806399,baseline_mean,3,True,False,True,True,3.0,False,False,stage1_survivor_stage2_nonselected,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.7799295774647887,
pls_H12_k2__rolling240m_annual__baseline_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1.0,0.0886673996726668,0.0886673996726668,0.0886673996726668,0.0723672483143843,0.0723672483143843,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0163001513582825,0.0163001513582825,0.0,0.045691963086490005,0.0836281043508618,0.05085085022478931,1.110070821037654,,cuda:0,0.8802816901408451,0.323943661971831,0.5633802816901409,0.5633802816901409,0.6690140845070423,0.5897887323943662,0.5897887323943662,0.5897887323943662,31.0,True,7.0,pls,2,2,12.0,2.0,returns,,,,ported_legacy_v2,pls_H12_k2,0.04393403270776767,0.03924292567086418,-0.002989471125259799,-0.02799367512841348,0.5708345372217636,0.5708345372217636,0.5180973973616043,0.4732718293301915,234.0,192.0,240.0,0.5800241867056645,0.9425475285901042,1,trailing_holdout,240,False,False,False,False,True,0.92,0.9,0.33999999999999997,0.43999999999999995,0.03734392780160252,-0.00044842066878896983,0.0,0.03689550713281355,baseline_mean,7,True,False,True,True,7.0,False,False,stage1_survivor_stage2_nonselected,stage1_spec_protocol_selection+stage2_protocol_covariance_selection,0.5897887323943662,
