refit_index,decision_date,train_window_start,train_window_end,epochs_logged,train_objective,best_validation_loss,history_csv
1,2000-01-31,1980-02-29,2000-01-31,500,-0.006764010958802097,0.006764010958802097,training_logs/pipinn/refit_001_20000131.csv
2,2000-02-29,1980-03-31,2000-02-29,500,-0.0059201741816055035,0.0059201741816055035,training_logs/pipinn/refit_002_20000229.csv
3,2000-03-31,1980-04-30,2000-03-31,500,-0.0061039077417353255,0.0061039077417353255,training_logs/pipinn/refit_003_20000331.csv
4,2000-04-30,1980-05-31,2000-04-30,500,-0.005879178167952689,0.005879178167952689,training_logs/pipinn/refit_004_20000430.csv
5,2000-05-31,1980-06-30,2000-05-31,500,-0.005837755620084204,0.005837755620084204,training_logs/pipinn/refit_005_20000531.csv
6,2000-06-30,1980-07-31,2000-06-30,500,-0.005721185021902411,0.005721185021902411,training_logs/pipinn/refit_006_20000630.csv
7,2000-07-31,1980-08-31,2000-07-31,500,-0.005788824788670419,0.005788824788670419,training_logs/pipinn/refit_007_20000731.csv
8,2000-08-31,1980-09-30,2000-08-31,500,-0.005804278399327786,0.005804278399327786,training_logs/pipinn/refit_008_20000831.csv
9,2000-09-30,1980-10-31,2000-09-30,500,-0.005802004938747741,0.005802004938747741,training_logs/pipinn/refit_009_20000930.csv
10,2000-10-31,1980-11-30,2000-10-31,500,-0.0058476073613388975,0.0058476073613388975,training_logs/pipinn/refit_010_20001031.csv
11,2000-11-30,1980-12-31,2000-11-30,500,-0.005658548094704153,0.005658548094704153,training_logs/pipinn/refit_011_20001130.csv
12,2000-12-31,1981-01-31,2000-12-31,500,-0.0057615716137697556,0.0057615716137697556,training_logs/pipinn/refit_012_20001231.csv
13,2001-01-31,1981-02-28,2001-01-31,500,-0.0057225904110298365,0.0057225904110298365,training_logs/pipinn/refit_013_20010131.csv
14,2001-02-28,1981-03-31,2001-02-28,500,-0.005653971847917237,0.005653971847917237,training_logs/pipinn/refit_014_20010228.csv
15,2001-03-31,1981-04-30,2001-03-31,500,-0.005627210947493032,0.005627210947493032,training_logs/pipinn/refit_015_20010331.csv
16,2001-04-30,1981-05-31,2001-04-30,500,-0.005639059234388384,0.005639059234388384,training_logs/pipinn/refit_016_20010430.csv
17,2001-05-31,1981-06-30,2001-05-31,500,-0.005795657268228548,0.005795657268228548,training_logs/pipinn/refit_017_20010531.csv
18,2001-06-30,1981-07-31,2001-06-30,500,-0.00581887857520722,0.00581887857520722,training_logs/pipinn/refit_018_20010630.csv
19,2001-07-31,1981-08-31,2001-07-31,500,-0.005696483890101105,0.005696483890101105,training_logs/pipinn/refit_019_20010731.csv
20,2001-08-31,1981-09-30,2001-08-31,500,-0.00530406534215732,0.00530406534215732,training_logs/pipinn/refit_020_20010831.csv
21,2001-09-30,1981-10-31,2001-09-30,500,-0.0056221531516632344,0.0056221531516632344,training_logs/pipinn/refit_021_20010930.csv
22,2001-10-31,1981-11-30,2001-10-31,500,-0.0054466216233260666,0.0054466216233260666,training_logs/pipinn/refit_022_20011031.csv
23,2001-11-30,1981-12-31,2001-11-30,500,-0.005659815114349867,0.005659815114349867,training_logs/pipinn/refit_023_20011130.csv
24,2001-12-31,1982-01-31,2001-12-31,500,-0.005721685729076635,0.005721685729076635,training_logs/pipinn/refit_024_20011231.csv
25,2002-01-31,1982-02-28,2002-01-31,500,-0.005778406471678604,0.005778406471678604,training_logs/pipinn/refit_025_20020131.csv
26,2002-02-28,1982-03-31,2002-02-28,500,-0.005730293277832702,0.005730293277832702,training_logs/pipinn/refit_026_20020228.csv
27,2002-03-31,1982-04-30,2002-03-31,500,-0.006028084003581659,0.006028084003581659,training_logs/pipinn/refit_027_20020331.csv
28,2002-04-30,1982-05-31,2002-04-30,500,-0.005861303794581952,0.005861303794581952,training_logs/pipinn/refit_028_20020430.csv
29,2002-05-31,1982-06-30,2002-05-31,500,-0.005816120591637154,0.005816120591637154,training_logs/pipinn/refit_029_20020531.csv
30,2002-06-30,1982-07-31,2002-06-30,500,-0.005809072847061552,0.005809072847061552,training_logs/pipinn/refit_030_20020630.csv
31,2002-07-31,1982-08-31,2002-07-31,500,-0.005947878534132377,0.005947878534132377,training_logs/pipinn/refit_031_20020731.csv
32,2002-08-31,1982-09-30,2002-08-31,500,-0.005921831768764416,0.005921831768764416,training_logs/pipinn/refit_032_20020831.csv
33,2002-09-30,1982-10-31,2002-09-30,500,-0.005644451224058337,0.005644451224058337,training_logs/pipinn/refit_033_20020930.csv
34,2002-10-31,1982-11-30,2002-10-31,500,-0.00512499745033351,0.00512499745033351,training_logs/pipinn/refit_034_20021031.csv
35,2002-11-30,1982-12-31,2002-11-30,500,-0.004162588781252931,0.004162588781252931,training_logs/pipinn/refit_035_20021130.csv
36,2002-12-31,1983-01-31,2002-12-31,500,-0.003914069144338386,0.003914069144338386,training_logs/pipinn/refit_036_20021231.csv
37,2003-01-31,1983-02-28,2003-01-31,500,-0.00390861673635838,0.00390861673635838,training_logs/pipinn/refit_037_20030131.csv
38,2003-02-28,1983-03-31,2003-02-28,500,-0.003968618282405176,0.003968618282405176,training_logs/pipinn/refit_038_20030228.csv
39,2003-03-31,1983-04-30,2003-03-31,500,-0.00387541642524901,0.00387541642524901,training_logs/pipinn/refit_039_20030331.csv
40,2003-04-30,1983-05-31,2003-04-30,500,-0.0036112897034539138,0.0036112897034539138,training_logs/pipinn/refit_040_20030430.csv
41,2003-05-31,1983-06-30,2003-05-31,500,-0.0036747764474309823,0.0036747764474309823,training_logs/pipinn/refit_041_20030531.csv
42,2003-06-30,1983-07-31,2003-06-30,500,-0.003757901647387744,0.003757901647387744,training_logs/pipinn/refit_042_20030630.csv
43,2003-07-31,1983-08-31,2003-07-31,500,-0.0038650128000111495,0.0038650128000111495,training_logs/pipinn/refit_043_20030731.csv
44,2003-08-31,1983-09-30,2003-08-31,500,-0.0038580166587031885,0.0038580166587031885,training_logs/pipinn/refit_044_20030831.csv
45,2003-09-30,1983-10-31,2003-09-30,500,-0.0039056203629720784,0.0039056203629720784,training_logs/pipinn/refit_045_20030930.csv
46,2003-10-31,1983-11-30,2003-10-31,500,-0.0038378507176420585,0.0038378507176420585,training_logs/pipinn/refit_046_20031031.csv
47,2003-11-30,1983-12-31,2003-11-30,500,-0.003946330095304065,0.003946330095304065,training_logs/pipinn/refit_047_20031130.csv
48,2003-12-31,1984-01-31,2003-12-31,500,-0.003886072223817495,0.003886072223817495,training_logs/pipinn/refit_048_20031231.csv
49,2004-01-31,1984-02-29,2004-01-31,500,-0.0038696127933994556,0.0038696127933994556,training_logs/pipinn/refit_049_20040131.csv
50,2004-02-29,1984-03-31,2004-02-29,500,-0.0038832930002830226,0.0038832930002830226,training_logs/pipinn/refit_050_20040229.csv
51,2004-03-31,1984-04-30,2004-03-31,500,-0.0038613993830853336,0.0038613993830853336,training_logs/pipinn/refit_051_20040331.csv
52,2004-04-30,1984-05-31,2004-04-30,500,-0.0036951306182365844,0.0036951306182365844,training_logs/pipinn/refit_052_20040430.csv
53,2004-05-31,1984-06-30,2004-05-31,500,-0.0038966447777163972,0.0038966447777163972,training_logs/pipinn/refit_053_20040531.csv
54,2004-06-30,1984-07-31,2004-06-30,500,-0.00390723761002332,0.00390723761002332,training_logs/pipinn/refit_054_20040630.csv
55,2004-07-31,1984-08-31,2004-07-31,500,-0.003977831042307343,0.003977831042307343,training_logs/pipinn/refit_055_20040731.csv
56,2004-08-31,1984-09-30,2004-08-31,500,-0.0038889475969958497,0.0038889475969958497,training_logs/pipinn/refit_056_20040831.csv
